centered-Reason replay over 208 v4 duels (k=3, LME-mean centering; delta=0.002)

challenge   challenger               old margin   old z  W  cen margin   cen z  W chall cenR  king cenR
chal-00974  unconst                    -0.00066   -0.77  .     0.00194    4.38  .    0.01065    0.00871
chal-00975  alex-drok                  -0.00107   -1.30  .     0.00097    2.37  .    0.00957    0.00861
chal-00976  qriuzagnadisfo             -0.00162   -1.94  .     0.00188    3.99  .    0.01064    0.00875
chal-00977  0pentensor                 -0.00004   -0.07  .    -0.00033   -0.86  .    0.00893    0.00925
chal-00978  thompsville                -0.00018   -0.33  .    -0.00037   -1.36  .    0.00854    0.00890
chal-00979  vikingL08                   0.00056    1.11  .     0.00038    1.05  .    0.01053    0.01014
chal-00981  ringtone-ro                 0.00157    2.23  .     0.00061    2.06  .    0.00940    0.00880
chal-00982  fortunateGambler           -0.00018   -0.27  .    -0.00012   -0.35  .    0.00849    0.00859
chal-00983  llorite                    -0.00139   -1.57  .     0.00114    2.45  .    0.01046    0.00928
chal-00984  afgod1079                   0.00026    0.51  .    -0.00032   -0.81  .    0.00836    0.00865
chal-00985  0xgevdhc                    0.00034    0.62  .    -0.00059   -1.84  .    0.00887    0.00947
chal-00987  afgod1079                  -0.00001   -0.02  .    -0.00013   -0.38  .    0.00963    0.00975
chal-00988  Tok331102                  -0.00079   -1.35  .    -0.00014   -0.46  .    0.00967    0.00982
chal-00989  m3s2er                      0.00017    0.25  .     0.00073    2.14  .    0.00949    0.00869
chal-00990  vikingL08                   0.00019    0.29  .     0.00028    0.75  .    0.01015    0.00987
chal-00991  syntaxs0cerer               0.00064    0.94  .     0.00031    1.11  .    0.00883    0.00853
chal-00992  tammyfritz                  0.00048    0.67  .    -0.00004   -0.12  .    0.00936    0.00940
chal-00993  0pentensor                  0.00153    2.65  Y     0.00044    1.78  .    0.00977    0.00933
chal-00995  llorite                     0.00072    1.80  .    -0.00001   -0.04  .    0.00927    0.00927
chal-00998  vikingL08                  -0.00290   -2.39  .    -0.00001   -0.02  .    0.01052    0.01055
chal-00999  afgod1079                  -0.00082   -1.08  .    -0.00042   -1.28  .    0.00898    0.00940
chal-01000  Tok331102                  -0.00855   -5.91  .     0.00686    8.62  Y    0.01713    0.01023
chal-01001  bodenmaurice               -0.00082   -1.35  .    -0.00063   -2.44  .    0.00847    0.00909
chal-01002  diane613                    0.00052    0.83  .    -0.00004   -0.13  .    0.00956    0.00959
chal-01003  bodenmaurice                0.00015    0.24  .     0.00021    0.62  .    0.01057    0.01036
chal-01004  afgod1079                  -0.00078   -1.41  .    -0.00063   -2.10  .    0.00932    0.00996
chal-01005  vikingL08                   0.00097    1.47  .    -0.00043   -1.74  .    0.00887    0.00928
chal-01006  ttttxxxxsada               -0.00060   -1.20  .    -0.00022   -0.89  .    0.00756    0.00780
chal-01007  active-king                -0.00152   -2.22  .     0.00004    0.13  .    0.00984    0.00979
chal-01008  ttttxxxxsada                0.00153    2.24  Y     0.00044    1.08  .    0.00963    0.00919
chal-01009  ttttxxxxsada                0.00060    0.97  .     0.00014    0.52  .    0.00966    0.00952
chal-01010  ttttxxxxsada               -0.00023   -0.40  .    -0.00014   -0.55  .    0.00830    0.00845
chal-01011  ttttxxxxsada                0.00116    2.11  Y    -0.00012   -0.44  .    0.00943    0.00955
chal-01012  afgod1079                  -0.00021   -0.33  .    -0.00014   -0.50  .    0.00988    0.01004
chal-01013  unconstai                   0.00140    2.18  Y     0.00067    2.08  .    0.01010    0.00944
chal-01015  pandora-box                -0.00033   -0.59  .    -0.00034   -1.07  .    0.00937    0.00971
chal-01016  afgod1079                   0.00100    1.88  .    -0.00037   -1.37  .    0.00859    0.00897
chal-01018  ammazon                    -0.00074   -1.23  .     0.00015    0.63  .    0.00859    0.00844
chal-01019  realmadrid9999             -0.00020   -0.35  .    -0.00031   -1.31  .    0.00914    0.00945
chal-01020  IntoLayer                  -0.00014   -0.29  .    -0.00005   -0.20  .    0.00911    0.00917
chal-01022  thompsville                 0.00000    0.00  .    -0.00016   -0.66  .    0.01013    0.01028
chal-01023  thompsville                -0.00028   -0.60  .    -0.00005   -0.22  .    0.00856    0.00861
chal-01026  tammyfritz                 -0.00012   -0.30  .    -0.00034   -1.21  .    0.00891    0.00924
chal-01027  0xgevdhc                    0.00013    0.28  .     0.00023    0.93  .    0.00911    0.00888
chal-01029  vikingL08                  -0.01065   -8.14  .     0.00242    4.24  Y    0.01197    0.00955
chal-01030  isomsom                     0.00041    0.66  .     0.00013    0.45  .    0.01020    0.01005
chal-01031  vikingL08                  -0.01712  -11.16  .     0.00381    5.63  Y    0.01303    0.00916
chal-01032  afgod1079                  -0.00033   -0.56  .    -0.00047   -1.34  .    0.00960    0.01007
chal-01033  afgod1079                  -0.00032   -0.52  .    -0.00049   -1.40  .    0.00875    0.00924
chal-01034  isomsom                     0.00018    0.31  .    -0.00038   -1.24  .    0.00871    0.00905
chal-01035  isomsom                     0.00081    1.45  .    -0.00021   -0.68  .    0.01034    0.01055
chal-01036  afgod1079                   0.00060    0.93  .    -0.00020   -0.60  .    0.00939    0.00959
chal-01037  afgod1079                  -0.00183   -2.85  .    -0.00013   -0.48  .    0.00819    0.00833
chal-01038  ammazon                    -0.00065   -1.20  .    -0.00064   -2.36  .    0.00887    0.00950
chal-01039  0pentensor                 -0.00139   -1.97  .    -0.00083   -2.53  .    0.00964    0.01048
